Gene	Wave	query name	accession
Pa_0_1450	0	#N/A	#N/A
Pa_0_1460	0	Glyco_hydro_43	PF04616.17
Pa_0_1470	Wave IV	#N/A	#N/A
Pa_0_1480	0	GAT	PF03127.17
Pa_0_150	Wave II	AAA_16	PF13191.9
Pa_0_1500	0	ATG13	PF10033.12
Pa_0_1510	0	ABM	PF03992.19
Pa_0_1520	Wave IV	#N/A	#N/A
Pa_0_1530	0	Cellulase	PF00150.21
Pa_0_1540	0	p450	PF00067.25
Pa_0_1550	0	#N/A	#N/A
Pa_0_1560	0	CUE	PF02845.19
Pa_0_1570	0	#N/A	#N/A
Pa_0_1580	0	Ribosomal_S10	PF00338.25
Pa_0_160	Wave I	p450	PF00067.25
Pa_0_1600	0	TauD	PF02668.19
Pa_0_1610	0	#N/A	#N/A
Pa_0_1620	0	#N/A	#N/A
Pa_0_1630	Wave IV	#N/A	#N/A
Pa_0_1640	Wave II	Abhydrolase_2	PF02230.19
Pa_0_170	0	Aldo_ket_red	PF00248.24
Pa_0_180	0	#N/A	#N/A
Pa_0_190	0	GMC_oxred_C	PF05199.16
Pa_0_20	Wave III	#N/A	#N/A
Pa_0_200	0	MFS_1	PF07690.19
Pa_0_210	Wave I	ADH_zinc_N	PF00107.29
Pa_0_220	Wave I	p450	PF00067.25
Pa_0_230	0	#N/A	#N/A
Pa_0_240	0	Acyl_transf_1	PF00698.24
Pa_0_25	0	#N/A	#N/A
Pa_0_250	0	#N/A	#N/A
Pa_0_260	0	SRAP	PF02586.17
Pa_0_270	0	AA9	PF03443.17
Pa_0_280	0	CDH-cyt	PF16010.8
Pa_0_290	0	F-box-like	PF12937.10
Pa_0_30	Wave IV	#N/A	#N/A
Pa_0_300	0	ApbA	PF02558.19
Pa_0_310	0	Gln-synt_C	PF00120.27
Pa_0_320	0	#N/A	#N/A
Pa_0_330	0	Peptidase_S8	PF00082.25
Pa_0_340	0	GMC_oxred_C	PF05199.16
Pa_0_350	0	#N/A	#N/A
Pa_0_360	0	Hemerythrin	PF01814.26
Pa_0_370	Wave I	Peroxidase_2	PF01328.20
Pa_0_390	0	ADH_N	PF08240.15
Pa_0_40	0	GFA	PF04828.17
Pa_0_400	0	HET	PF06985.14
Pa_0_410	0	HET	PF06985.14
Pa_0_420	0	Glyco_transf_25	PF01755.20
Pa_0_430	Wave IV	#N/A	#N/A
Pa_0_440	0	GMC_oxred_C	PF05199.16
Pa_0_450	0	#N/A	#N/A
Pa_0_460	0	#N/A	#N/A
Pa_0_470	0	#N/A	#N/A
Pa_0_480	0	#N/A	#N/A
Pa_0_490	0	#N/A	#N/A
Pa_0_495	0	#N/A	#N/A
Pa_0_50	0	Palm_thioest	PF02089.18
Pa_0_500	0	HET	PF06985.14
Pa_0_510	0	DUF1996	PF09362.13
Pa_0_530	0	#N/A	#N/A
Pa_0_540	0	Epimerase	PF01370.24
Pa_0_550	0	#N/A	#N/A
Pa_0_560	0	#N/A	#N/A
Pa_0_570	0	#N/A	#N/A
Pa_0_580	0	MFS_1	PF07690.19
Pa_0_590	0	#N/A	#N/A
Pa_0_60	0	#N/A	#N/A
Pa_0_600	0	AA_permease	PF00324.24
Pa_0_610	Wave II	#N/A	#N/A
Pa_0_620	0	#N/A	#N/A
Pa_0_630	0	#N/A	#N/A
Pa_0_640	0	Rubis-subs-bind	PF09273.14
Pa_0_650	0	HAT_KAT11	PF08214.14
Pa_0_660	0	Ribonucleas_3_3	PF14622.9
Pa_0_670	0	2EXR	PF20150.2
Pa_0_680	0	p450	PF00067.25
Pa_0_690	0	4HBT_3	PF13622.9
Pa_0_70	0	Ribosomal_L1	PF00687.24
Pa_0_700	0	DUF829	PF05705.17
Pa_0_710	0	F_bP_aldolase	PF01116.23
Pa_0_715	0	DUF3237	PF11578.11
Pa_0_720	0	SET	PF00856.31
Pa_0_730	0	#N/A	#N/A
Pa_0_740	0	DUF1996	PF09362.13
Pa_0_750	0	DUF4419	PF14388.9
Pa_0_760	Wave I	Lipocalin_5	PF13924.9
Pa_0_770	0	RRM_1	PF00076.25
Pa_0_780	Wave II	FAD_binding_3	PF01494.22
Pa_0_785	0	adh_short	PF00106.28
Pa_0_790	0	PAN_4	PF14295.9
Pa_0_80	0	p450	PF00067.25
Pa_0_800	Wave IV	#N/A	#N/A
Pa_0_810	0	SBP_bac_3	PF00497.23
Pa_0_820	0	Acetyltransf_1	PF00583.28
Pa_0_830	0	AAA_17	PF13207.9
Pa_0_840	0	Glyco_hydro_47	PF01532.23
Pa_0_850	Wave IV	#N/A	#N/A
Pa_0_860	0	DEAD	PF00270.32
Pa_0_870	0	MFS_1	PF07690.19
Pa_0_880	0	Amidohydro_2	PF04909.17
Pa_0_890	0	#N/A	#N/A
Pa_0_90	Wave III	#N/A	#N/A
Pa_0_900	0	Abhydrolase_3	PF07859.16
Pa_0_910	0	CBM_1	PF00734.21
Pa_0_920	0	#N/A	#N/A
Pa_0_930	0	Fungal_trans	PF04082.21
Pa_0_940	0	BRCT	PF00533.29
Pa_0_950	0	3Beta_HSD	PF01073.22
Pa_0_960	0	UvdE	PF03851.17
Pa_0_970	0	#N/A	#N/A
Pa_0_980	0	#N/A	#N/A
Pa_0_990	0	Thymidylate_kin	PF02223.20
Pa_1_10	0	#N/A	#N/A
Pa_1_100	0	TPR_1	PF00515.31
Pa_1_1000	0	RTA1	PF04479.16
Pa_1_10000	0	Asp	PF00026.26
Pa_1_10010	0	WLM	PF08325.13
Pa_1_10020	0	SHR3_chaperone	PF08229.14
Pa_1_10030	0	Aldo_ket_red	PF00248.24
Pa_1_10040	0	DUF202	PF02656.18
Pa_1_10050	0	AAA_11	PF13086.9
Pa_1_10060	0	#N/A	#N/A
Pa_1_10070	0	#N/A	#N/A
Pa_1_10080	Wave III	#N/A	#N/A
Pa_1_10090	0	SAS4	PF15460.9
Pa_1_1010	0	Glyco_hydro_11	PF00457.20
Pa_1_10100	0	HATPase_c	PF02518.29
Pa_1_10110	0	Aldedh	PF00171.25
Pa_1_10120	0	#N/A	#N/A
Pa_1_10130	Wave III	#N/A	#N/A
Pa_1_10140	Wave III	Fungal_trans_2	PF11951.11
Pa_1_10150	Wave III	#N/A	#N/A
Pa_1_10160	Wave I	p450	PF00067.25
Pa_1_10170	Wave IV	#N/A	#N/A
Pa_1_10180	0	Fuz_longin_1	PF19036.3
Pa_1_10190	0	Dopey_N	PF04118.17
Pa_1_10200	0	AhpC-TSA	PF00578.24
Pa_1_10210	0	#N/A	#N/A
Pa_1_10220	0	zf-HIT	PF04438.19
Pa_1_10230	0	WSC	PF01822.22
Pa_1_10240	0	BRCT_2	PF16589.8
Pa_1_10250	0	RED_N	PF07808.16
Pa_1_10260	0	PK_Tyr_Ser-Thr	PF07714.20
Pa_1_10270	0	IU_nuc_hydro	PF01156.22
Pa_1_10280	0	CAP_GLY	PF01302.28
Pa_1_10290	0	#N/A	#N/A
Pa_1_1030	0	APH	PF01636.26
Pa_1_10300	0	Nop14	PF04147.15
Pa_1_10310	0	#N/A	#N/A
Pa_1_10320	0	Ribosomal_60s	PF00428.22
Pa_1_10330	0	MutS_I	PF01624.23
Pa_1_10340	0	#N/A	#N/A
Pa_1_10350	Wave IV	Alpha-mann_mid	PF09261.14
Pa_1_10360	0	DnaJ	PF00226.34
Pa_1_10370	0	BAH	PF01426.21
Pa_1_10380	0	BTB	PF00651.34
Pa_1_10390	0	Abhydrolase_1	PF00561.23
Pa_1_1040	0	IBR	PF01485.24
Pa_1_10400	0	#N/A	#N/A
Pa_1_10410	0	SNARE_assoc	PF09335.14
Pa_1_10420	0	DUF1771	PF08590.13
Pa_1_10430	0	Cupin_8	PF13621.9
Pa_1_10440	0	DEAD	PF00270.32
Pa_1_1045	0	#N/A	#N/A
Pa_1_10450	0	FoP_duplication	PF13865.9
Pa_1_10460	0	DUF1932	PF09130.14
Pa_1_10470	Wave IV	#N/A	#N/A
Pa_1_10480	0	#N/A	#N/A
Pa_1_1050	Wave V	Glyco_hydro_43	PF04616.17
Pa_1_10510	0	AP_endonuc_2	PF01261.27
Pa_1_10520	0	Mad3_BUB1_I	PF08311.15
Pa_1_10530	0	NACHT	PF05729.15
Pa_1_10540	0	Enolase_C	PF00113.25
Pa_1_10550	0	ERAP1_C	PF11838.11
Pa_1_10560	0	#N/A	#N/A
Pa_1_10570	0	WLM	PF08325.13
Pa_1_10580	0	Peptidase_M3	PF01432.23
Pa_1_10590	0	ApoO	PF09769.12
Pa_1_1060	Wave IV	#N/A	#N/A
Pa_1_10600	0	Mito_carr	PF00153.30
Pa_1_10610	0	#N/A	#N/A
Pa_1_10620	0	Sod_Fe_C	PF02777.21
Pa_1_10625	0	Pkinase_fungal	PF17667.4
Pa_1_10630	0	Sod_Cu	PF00080.23
Pa_1_10640	Wave II	Aminotran_5	PF00266.22
Pa_1_10650	0	#N/A	#N/A
Pa_1_10660	0	Zn_clus	PF00172.21
Pa_1_10670	0	#N/A	#N/A
Pa_1_10680	0	DAD	PF02109.19
Pa_1_10690	0	GRASP55_65	PF04495.17
Pa_1_1070	0	HET	PF06985.14
Pa_1_10700	0	Methyltransf_15	PF09445.13
Pa_1_10710	0	#N/A	#N/A
Pa_1_10720	0	Ank	PF00023.33
Pa_1_10730	0	KAR9	PF08580.13
Pa_1_10740	0	#N/A	#N/A
Pa_1_10750	0	DEAD	PF00270.32
Pa_1_10760	0	#N/A	#N/A
Pa_1_10770	0	Brix	PF04427.21
Pa_1_10775	0	GGACT	PF06094.15
Pa_1_10780	0	MFS_1	PF07690.19
Pa_1_10790	0	DUF1275	PF06912.14
Pa_1_1080	0	DLH	PF01738.21
Pa_1_10800	0	Aminotran_1_2	PF00155.24
Pa_1_10810	0	DUF1765	PF08578.13
Pa_1_10820	0	FAD_binding_1	PF00667.23
Pa_1_10830	0	SBF	PF01758.19
Pa_1_10840	0	#N/A	#N/A
Pa_1_10850	0	Peptidase_C12	PF01088.24
Pa_1_10860	0	#N/A	#N/A
Pa_1_10870	0	#N/A	#N/A
Pa_1_10880	0	KH_1	PF00013.32
Pa_1_10890	0	CENP-K	PF11802.11
Pa_1_1090	0	HET	PF06985.14
Pa_1_10900	0	dUTPase	PF00692.22
Pa_1_10910	0	#N/A	#N/A
Pa_1_10920	0	Phos_pyr_kin	PF08543.15
Pa_1_10930	0	PCNA_C	PF02747.18
Pa_1_10940	0	Vezatin	PF12632.10
Pa_1_10950	0	EMC6	PF07019.15
Pa_1_10960	0	CH	PF00307.34
Pa_1_10970	0	CBS	PF00571.31
Pa_1_10980	0	AlaDh_PNT_N	PF05222.18
Pa_1_10990	0	Fungal_trans	PF04082.21
Pa_1_110	Wave I	#N/A	#N/A
Pa_1_1100	0	#N/A	#N/A
Pa_1_11000	0	#N/A	#N/A
Pa_1_11010	0	AAA	PF00004.32
Pa_1_11020	0	APG6	PF04111.15
Pa_1_11030	0	V-SNARE	PF05008.18
Pa_1_11040	0	Amidohydro_1	PF01979.23
Pa_1_11050	0	HMG_box	PF00505.22
Pa_1_11060	0	Het-C	PF07217.14
Pa_1_11070	0	Glyco_hydro_45	PF02015.19
Pa_1_11080	0	DnaJ-like_C11_C	PF11875.11
Pa_1_11090	0	APH	PF01636.26
Pa_1_1110	0	FAD_binding_4	PF01565.26
Pa_1_11100	0	PA	PF02225.25
Pa_1_11110	0	MFS_1	PF07690.19
Pa_1_11120	Wave V	p450	PF00067.25
Pa_1_11130	0	MFS_1	PF07690.19
Pa_1_11140	0	Med26	PF08711.14
Pa_1_11150	0	Scm3	PF10384.12
Pa_1_11160	0	Methyltransf_28	PF02636.20
Pa_1_11170	0	PALP	PF00291.28
Pa_1_11175	0	#N/A	#N/A
Pa_1_11180	Wave V	#N/A	#N/A
Pa_1_11190	0	#N/A	#N/A
Pa_1_1120	0	#N/A	#N/A
Pa_1_11200	0	tRNA-synt_2	PF00152.23
Pa_1_11210	0	ANTH	PF07651.19
Pa_1_11220	0	MAT1	PF06391.16
Pa_1_11230	0	CS	PF04969.19
Pa_1_11240	0	DUF3835	PF12927.10
Pa_1_1125	0	#N/A	#N/A
Pa_1_11250	0	#N/A	#N/A
Pa_1_11260	Wave V	#N/A	#N/A
Pa_1_11270	0	MBOAT	PF03062.22
Pa_1_11280	0	FBO_C	PF19270.2
Pa_1_11290	0	PfkB	PF00294.27
Pa_1_1130	0	#N/A	#N/A
Pa_1_11300	0	DHHA1	PF02272.22
Pa_1_11310	0	#N/A	#N/A
Pa_1_11320	0	DUF6649	PF20354.1
Pa_1_11325	0	RCR	PF12273.11
Pa_1_11330	Wave IV	PP2C	PF00481.24
Pa_1_11340	0	Kre9_KNH	PF10342.12
Pa_1_11350	0	#N/A	#N/A
Pa_1_11360	0	FMO-like	PF00743.22
Pa_1_11370	0	#N/A	#N/A
Pa_1_11380	0	NB-ARC	PF00931.25
Pa_1_11390	0	Complex1_LYR	PF05347.18
Pa_1_1140	0	DAO	PF01266.27
Pa_1_11400	0	DEAD	PF00270.32
Pa_1_11410	0	#N/A	#N/A
Pa_1_11420	0	GTP_EFTU	PF00009.30
Pa_1_11430	0	tRNA-synt_2b	PF00587.28
Pa_1_11440	0	#N/A	#N/A
Pa_1_11450	0	#N/A	#N/A
Pa_1_11460	0	Utp11	PF03998.16
Pa_1_11470	0	CorA	PF01544.21
Pa_1_11480	0	Glyco_hydro_47	PF01532.23
Pa_1_11490	0	Maf	PF02545.17
Pa_1_1150	Wave IV	#N/A	#N/A
Pa_1_11500	0	PLA2_B	PF01735.21
Pa_1_11510	0	Histidinol_dh	PF00815.23
Pa_1_11520	0	TFIID-31kDa	PF02291.18
Pa_1_11530	0	Lipin_N	PF04571.17
Pa_1_11540	0	fn3	PF00041.24
Pa_1_11550	0	Cmc1	PF08583.13
Pa_1_11560	Wave I	#N/A	#N/A
Pa_1_11570	0	DAO	PF01266.27
Pa_1_11580	0	Peptidase_C14	PF00656.25
Pa_1_11590	0	DUF3176	PF11374.11
Pa_1_1160	0	SnoaL_4	PF13577.9
Pa_1_11600	0	Cation_efflux	PF01545.24
Pa_1_11610	0	Fungal_trans	PF04082.21
Pa_1_11620	0	FAD_binding_6	PF00970.27
Pa_1_11630	0	SH3_1	PF00018.31
Pa_1_11640	0	Ssu72	PF04722.16
Pa_1_11650	0	GIT_SHD	PF08518.14
Pa_1_11660	0	MARVEL	PF01284.26
Pa_1_11665	0	#N/A	#N/A
Pa_1_11666	0	#N/A	#N/A
Pa_1_11670	0	#N/A	#N/A
Pa_1_11680	0	ATG14	PF10186.12
Pa_1_11690	0	#N/A	#N/A
Pa_1_1170	0	#N/A	#N/A
Pa_1_11700	0	DUF3807	PF12720.10
Pa_1_11710	0	Knl1_RWD_C	PF18210.4
Pa_1_11720	0	Ribosomal_S17	PF00366.23
Pa_1_11730	0	#N/A	#N/A
Pa_1_11740	0	SWI-SNF_Ssr4_C	PF20497.1
Pa_1_1175	0	#N/A	#N/A
Pa_1_11750	0	6PGD	PF00393.22
Pa_1_11760	0	TAFII55_N	PF04658.16
Pa_1_11770	0	RRM_1	PF00076.25
Pa_1_11780	0	EamA	PF00892.23
Pa_1_11790	0	Glyco_hydro_15	PF00723.24
Pa_1_1180	Wave IV	#N/A	#N/A
Pa_1_11800	0	#N/A	#N/A
Pa_1_11810	0	Ribosomal_L37	PF08561.13
Pa_1_11820	0	#N/A	#N/A
Pa_1_11830	0	RRM_1	PF00076.25
Pa_1_11840	0	#N/A	#N/A
Pa_1_11850	0	Aldedh	PF00171.25
Pa_1_11860	0	HLH	PF00010.29
Pa_1_11865	Wave IV	#N/A	#N/A
Pa_1_11870	0	Acyl_transf_1	PF00698.24
Pa_1_11880	0	#N/A	#N/A
Pa_1_11890	0	WH2	PF02205.23
Pa_1_1190	0	#N/A	#N/A
Pa_1_11900	0	#N/A	#N/A
Pa_1_11910	Wave V	#N/A	#N/A
Pa_1_11920	0	CHORD	PF04968.15
Pa_1_11930	0	Glrx-like	PF05768.17
Pa_1_1194	0	#N/A	#N/A
Pa_1_11940	0	HpcH_HpaI	PF03328.17
Pa_1_11950	0	LSM	PF01423.25
Pa_1_11960	0	IU_nuc_hydro	PF01156.22
Pa_1_1197	0	#N/A	#N/A
Pa_1_11970	0	#N/A	#N/A
Pa_1_11980	0	#N/A	#N/A
Pa_1_11990	0	#N/A	#N/A
Pa_1_120	0	NUDIX	PF00293.31
Pa_1_1200	0	HET	PF06985.14
Pa_1_12000	0	Rhomboid	PF01694.25
Pa_1_12010	0	PhoD	PF09423.13
Pa_1_12020	0	#N/A	#N/A
Pa_1_12025	0	CBFD_NFYB_HMF	PF00808.26
Pa_1_12030	0	CRC_subunit	PF08624.13
Pa_1_12040	0	CSD2	PF17876.4
Pa_1_12050	0	Dynamin_N	PF00350.26
Pa_1_12060	0	HAD_2	PF13419.9
Pa_1_12070	0	Homeodomain	PF00046.32
Pa_1_12080	0	MEKK4_N	PF19431.2
Pa_1_12090	0	SLD3	PF08639.13
Pa_1_1210	Wave V	CVNH	PF08881.13
Pa_1_12100	0	Trs65	PF12735.10
Pa_1_12110	0	FF	PF01846.22
Pa_1_12120	0	AAA_21	PF13304.9
Pa_1_12130	0	Cdh1_DBD_1	PF18196.4
Pa_1_12140	0	SIR2	PF02146.20
Pa_1_1215	0	TPR_10	PF13374.9
Pa_1_12150	0	Med16	PF11635.11
Pa_1_12160	0	DUF3500	PF12006.11
Pa_1_12170	0	#N/A	#N/A
Pa_1_12180	Wave IV	Abhydrolase_2	PF02230.19
Pa_1_12190	Wave IV	#N/A	#N/A
Pa_1_1220	0	Beta-lactamase	PF00144.27
Pa_1_12200	0	#N/A	#N/A
Pa_1_12210	0	Glyco_transf_34	PF05637.15
Pa_1_12220	Wave III	Glyco_hydro_16	PF00722.24
Pa_1_12230	0	TsaD	PF00814.28
Pa_1_12240	0	#N/A	#N/A
Pa_1_12250	0	Proteasome	PF00227.29
Pa_1_12260	0	DUF1752	PF08550.13
Pa_1_12270	0	Met_10	PF02475.19
Pa_1_12280	0	2OG-FeII_Oxy_2	PF13532.9
Pa_1_12290	0	#N/A	#N/A
Pa_1_1230	Wave V	#N/A	#N/A
Pa_1_12300	0	Sec10	PF07393.14
Pa_1_12310	0	RNB	PF00773.22
Pa_1_12320	0	#N/A	#N/A
Pa_1_12330	0	Sel1	PF08238.15
Pa_1_12340	0	Chitin_synth_2	PF03142.18
Pa_1_12350	Wave II	#N/A	#N/A
Pa_1_12360	0	MFS_2	PF13347.9
Pa_1_12370	0	HisG	PF01634.21
Pa_1_12380	0	HeH	PF12949.10
Pa_1_12390	0	HSP20	PF00011.24
Pa_1_1240	0	Aldo_ket_red	PF00248.24
Pa_1_12400	0	HLH	PF00010.29
Pa_1_12410	0	Kelch_3	PF13415.9
Pa_1_12420	0	LRR_4	PF12799.10
Pa_1_12430	0	DEAD	PF00270.32
Pa_1_12440	0	#N/A	#N/A
Pa_1_12450	Wave II	Acetyltransf_1	PF00583.28
Pa_1_12460	0	#N/A	#N/A
Pa_1_12470	0	Ribonuc_L-PSP	PF01042.24
Pa_1_12480	0	MIR	PF02815.22
Pa_1_12490	0	p450	PF00067.25
Pa_1_1250	0	#N/A	#N/A
Pa_1_12500	0	#N/A	#N/A
Pa_1_12507	0	#N/A	#N/A
Pa_1_12510	0	AAA_23	PF13476.9
Pa_1_12520	Wave V	adh_short	PF00106.28
Pa_1_12525	0	#N/A	#N/A
Pa_1_12530	Wave IV	CVNH	PF08881.13
Pa_1_12540	0	#N/A	#N/A
Pa_1_12550	0	Cytochrom_C1	PF02167.18
Pa_1_12560	0	DAHP_synth_1	PF00793.23
Pa_1_12570	0	Far-17a_AIG1	PF04750.17
Pa_1_12580	0	Pro_isomerase	PF00160.24
Pa_1_12590	0	FMN_dh	PF01070.21
Pa_1_1260	0	ABC1	PF03109.19
Pa_1_12600	0	Nup84_Nup100	PF04121.16
Pa_1_12610	0	MTCP1	PF08991.13
Pa_1_12620	0	Rad60-SLD	PF11976.11
Pa_1_12630	0	LIM	PF00412.25
Pa_1_12640	0	MFS_1	PF07690.19
Pa_1_12650	0	CoA_binding	PF02629.22
Pa_1_12660	0	#N/A	#N/A
Pa_1_12670	0	Dynamin_M	PF01031.23
Pa_1_12680	0	#N/A	#N/A
Pa_1_12690	0	A_amylase_dom_C	PF09260.14
Pa_1_1270	Wave II	DUF6595	PF20238.1
Pa_1_12700	0	Fungal_trans	PF04082.21
Pa_1_12710	0	Glutaredoxin	PF00462.27
Pa_1_12720	0	CYSTM	PF12734.10
Pa_1_12730	0	Cofilin_ADF	PF00241.23
Pa_1_12740	0	Mod_r	PF07200.16
Pa_1_12750	0	#N/A	#N/A
Pa_1_12760	0	F-box	PF00646.36
Pa_1_12770	0	#N/A	#N/A
Pa_1_12780	0	V-ATPase_C	PF03223.18
Pa_1_12790	0	AAA_33	PF13671.9
Pa_1_1280	Wave V	#N/A	#N/A
Pa_1_12800	0	4HBT	PF03061.25
Pa_1_12810	0	#N/A	#N/A
Pa_1_12820	0	CBF	PF03914.20
Pa_1_12830	0	HGTP_anticodon	PF03129.23
Pa_1_12840	0	MoaE	PF02391.20
Pa_1_12850	0	OPT	PF03169.18
Pa_1_12860	0	Hydrolase_6	PF13344.9
Pa_1_12870	0	#N/A	#N/A
Pa_1_12880	0	#N/A	#N/A
Pa_1_12890	0	#N/A	#N/A
Pa_1_1290	0	GST_N_2	PF13409.9
Pa_1_12900	Wave II	#N/A	#N/A
Pa_1_12910	0	PHD	PF00628.32
Pa_1_12920	0	SCO1-SenC	PF02630.17
Pa_1_12930	0	APH	PF01636.26
Pa_1_12940	0	Metallophos	PF00149.31
Pa_1_1295	0	#N/A	#N/A
Pa_1_12950	0	Isy1	PF06246.15
Pa_1_12960	0	DDOST_48kD	PF03345.17
Pa_1_12970	0	#N/A	#N/A
Pa_1_12980	0	Beach	PF02138.21
Pa_1_12990	0	Inhibitor_I9	PF05922.19
Pa_1_130	0	Ribosomal_S21e	PF01249.21
Pa_1_1300	0	#N/A	#N/A
Pa_1_13000	Wave IV	#N/A	#N/A
Pa_1_13010	0	FAD_binding_4	PF01565.26
Pa_1_13020	0	#N/A	#N/A
Pa_1_13030	0	ATP12	PF07542.14
Pa_1_13040	0	AAA	PF00004.32
Pa_1_13050	0	Diphthami_syn_2	PF01902.20
Pa_1_13060	0	#N/A	#N/A
Pa_1_13070	0	zf-C2H2	PF00096.29
Pa_1_13080	0	MFS_1	PF07690.19
Pa_1_13090	0	#N/A	#N/A
Pa_1_1310	0	#N/A	#N/A
Pa_1_13100	0	#N/A	#N/A
Pa_1_13110	0	HET	PF06985.14
Pa_1_13120	0	FAD_binding_4	PF01565.26
Pa_1_13130	0	DUF4187	PF13821.9
Pa_1_13140	0	ATP-grasp	PF02222.25
Pa_1_13150	0	DUF1746	PF08508.13
Pa_1_13160	0	RTC	PF01137.24
Pa_1_13170	0	PPR_2	PF13041.9
Pa_1_13180	0	#N/A	#N/A
Pa_1_13190	0	Abhydrolase_3	PF07859.16
Pa_1_1320	0	#N/A	#N/A
Pa_1_13200	0	UstYa	PF11807.11
Pa_1_13210	0	NPL4	PF05021.18
Pa_1_13220	0	Sec66	PF09802.12
Pa_1_13230	Wave II	#N/A	#N/A
Pa_1_13240	0	AAA_22	PF13401.9
Pa_1_13250	0	#N/A	#N/A
Pa_1_13260	0	AAA	PF00004.32
Pa_1_13280	0	UQ_con	PF00179.29
Pa_1_13290	0	#N/A	#N/A
Pa_1_1330	0	Zip	PF02535.25
Pa_1_13300	0	DUF2417	PF10329.12
Pa_1_13310	0	LIM	PF00412.25
Pa_1_13320	0	3Beta_HSD	PF01073.22
Pa_1_13330	0	#N/A	#N/A
Pa_1_13340	0	HMG_box	PF00505.22
Pa_1_13350	0	DEAD	PF00270.32
Pa_1_13355	0	#N/A	#N/A
Pa_1_13360	0	zf-C2H2	PF00096.29
Pa_1_13370	0	Peptidase_M49	PF03571.18
Pa_1_13380	0	AAA_17	PF13207.9
Pa_1_13390	0	2-oxoacid_dh	PF00198.26
Pa_1_1340	0	Fungal_trans	PF04082.21
Pa_1_13400	0	ATP-synt_10	PF05176.17
Pa_1_13410	0	V-SNARE_C	PF12352.11
Pa_1_13420	0	Ribosomal_L6e	PF01159.22
Pa_1_13430	0	Ribosomal_L29	PF00831.26
Pa_1_13440	0	STT3	PF02516.17
Pa_1_13450	0	#N/A	#N/A
Pa_1_13460	0	FHA	PF00498.29
Pa_1_13470	0	PH	PF00169.32
Pa_1_13480	0	#N/A	#N/A
Pa_1_13490	0	Fcf1	PF04900.15
Pa_1_1350	0	NUDIX	PF00293.31
Pa_1_13500	0	DUF726	PF05277.15
